pi1,pi2
0.001,0.0014
0.002,0.0028
0.003,0.0042
0.004,0.0056
0.005,0.007
0.006,0.0084
0.007,0.0098
0.008,0.0112
0.009,0.012599999999999998
0.01,0.014
0.02,0.028
0.03,0.042
0.04,0.056
0.05,0.07
0.06,0.084
0.07,0.09800000000000002
0.08,0.112
0.09,0.126
0.1,0.14
0.11,0.154
0.12,0.168
0.13,0.182
0.14,0.19600000000000004
0.15,0.21
0.16,0.224
0.17,0.23800000000000002
0.18,0.252
0.19,0.266
0.2,0.28
0.21,0.294
0.22,0.308
0.23,0.322
0.24,0.336
0.25,0.35
0.26,0.364
0.27,0.378
0.28,0.39200000000000007
0.29,0.40599999999999997
0.3,0.42
0.31,0.434
0.32,0.448
0.33,0.462
0.34,0.47600000000000003
0.35,0.49
0.36,0.504
0.37,0.518
0.38,0.532
0.39,0.5459999999999999
0.4,0.56
0.41,0.574
0.42,0.588
0.43,0.602
0.44,0.616
0.45,0.6300000000000001
0.46,0.644
0.47,0.6579999999999999
0.48,0.672
0.49,0.6859999999999999
0.5,0.7
0.51,0.7140000000000001
0.52,0.728
0.53,0.7420000000000001
0.54,0.756
0.55,0.77
0.56,0.7840000000000001
0.57,0.7979999999999999
0.58,0.8119999999999999
0.59,0.826
0.6,0.84
0.61,0.854
0.62,0.868
0.63,0.882
0.64,0.896
0.65,0.91
0.66,0.924
0.67,0.9380000000000001
0.68,0.9520000000000001
0.69,0.9659999999999999
0.7,0.98
0.71,0.994
0.72,1.008
0.73,1.022
0.74,1.036
0.75,1.05
0.76,1.064
0.77,1.078
0.78,1.0919999999999999
0.79,1.106
0.8,1.12
0.81,1.1340000000000001
0.82,1.148
0.83,1.162
0.84,1.176
0.85,1.19
0.86,1.204
0.87,1.218
0.88,1.232
0.89,1.246
0.9,1.2600000000000002
0.91,1.274
0.92,1.288
0.93,1.302
0.94,1.3159999999999998
0.95,1.3299999999999998
0.96,1.344
0.97,1.358
0.98,1.3719999999999999
0.99,1.386
